,Unnamed: 0,start_time,end_time,packet_size,word
0,0,1620189946,1620189954,111092,hey_alexa
1,1,1620190054,1620190061,107049,hey_alexa
2,2,1620190368,1620190375,112752,hey_alexa
3,3,1620190479,1620190486,102499,hey_alexa
4,4,1620190577,1620190597,104907,change
5,5,1620190803,1620190810,110041,hey_alexa
6,6,1620192171,1620192177,108473,hey_alexa
7,7,1620192283,1620192289,102731,hey_alexa
8,8,1620192502,1620192509,115289,hey_alexa
9,9,1620193465,1620193473,114431,hey_alexa
10,10,1620193581,1620193587,107093,hey_alexa
11,11,1620194122,1620194129,115228,hey_alexa
12,12,1620194342,1620194349,106225,hey_alexa
13,13,1620194780,1620194787,104920,hey_alexa
14,14,1620195536,1620195553,118813,hey_alexa
15,15,1620195650,1620195657,105644,hey_alexa
16,16,1620195982,1620195989,114271,hey_alexa
17,17,1620196097,1620196104,109289,hey_alexa
18,18,1620196429,1620196435,112541,hey_alexa
19,19,1620196653,1620196660,105422,hey_alexa
20,20,1620196983,1620196990,112504,hey_alexa
21,21,1620197207,1620197214,110151,hey_alexa
22,22,1620197537,1620197544,113726,hey_alexa
23,23,1620197759,1620197766,104606,hey_alexa
24,24,1620197875,1620197882,103905,hey_alexa
25,25,1620197990,1620197997,106155,hey_alexa
26,26,1620198104,1620198112,106584,hey_alexa
27,27,1620198224,1620198231,112509,hey_alexa
28,28,1620198336,1620198347,106277,employers
29,29,1620198671,1620198678,113695,hey_alexa
30,30,1620199219,1620199226,112268,hey_alexa
31,31,1620199445,1620199452,105470,hey_alexa
32,32,1620199668,1620199675,104964,hey_alexa
33,33,1620200325,1620200332,111485,hey_alexa
34,34,1620200548,1620200555,106572,hey_alexa
35,35,1620200665,1620200672,111704,hey_alexa
36,36,1620200780,1620200787,104538,hey_alexa
37,37,1620201041,1620201050,155884,flexibility
38,38,1620202865,1620202873,113355,hey_alexa
39,39,1620202982,1620203003,118010,hey_alexa
40,40,1620203097,1620203105,105369,hey_alexa
41,41,1620203212,1620203219,112142,hey_alexa
42,42,1620203542,1620203549,113385,hey_alexa
43,43,1620203874,1620203881,110071,hey_alexa
44,44,1620204033,1620204043,2472096,tears
45,45,1620204211,1620204217,115899,hey_alexa
46,46,1620204544,1620204557,117356,dt
47,47,1620204774,1620204782,106523,hey_alexa
48,48,1620205327,1620205334,113450,hey_alexa
49,49,1620205553,1620205560,108161,hey_alexa
50,50,1620207097,1620207103,112430,hey_alexa
51,51,1620207214,1620207221,106021,hey_alexa
52,52,1620207438,1620207445,113511,hey_alexa
53,53,1620207665,1620207671,108751,hey_alexa
54,54,1620207780,1620207788,114386,hey_alexa
55,55,1620208008,1620208015,106729,hey_alexa
56,56,1620208233,1620208240,108683,hey_alexa
57,57,1620208789,1620208797,120597,hey_alexa
58,58,1620209454,1620209461,114047,hey_alexa
59,59,1620209571,1620209578,107859,hey_alexa
60,60,1620210020,1620210027,116463,hey_alexa
61,61,1620210131,1620210145,109864,blacks
62,62,1620211142,1620211152,121600,hey_alexa
63,63,1620211367,1620211383,117734,hey_alexa
64,64,1620211594,1620211601,103629,hey_alexa
